,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,January,187,"$493,823","$481,375",-2.52%,"$2,000",0.41%,27,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,137,"$490,312","$479,375",-2.23%,"$3,085",0.64%,32,
,November,158,"$492,325","$476,290",-3.25%,"$2,165",0.45%,28,
,October,244,"$481,975","$474,125",-1.62%,"-$4,375",-0.91%,22,
,September,201,"$494,112","$478,500",-3.15%,"$25,550",5.64%,18,
,August,200,"$460,749","$452,950",-1.69%,"-$40,900",-8.28%,19,
,July,241,"$499,434","$493,850",-1.11%,"$7,725",1.58%,17,
,June,319,"$495,650","$486,125",-1.92%,$125,0.02%,17,
,May,383,"$488,534","$486,000",-0.51%,"$2,000",0.41%,15,
,April,417,"$483,962","$484,000",0%,"-$12,437",-2.5%,10,
,March,356,"$494,962","$496,437",0.29%,"$29,812",6.38%,8,
,February,269,"$470,500","$466,625",-0.82%,"$9,100",1.98%,10,
,January,165,"$462,537","$457,525",-1.08%,"$26,550",6.16%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,149,"$442,962","$430,975",-2.7%,"-$26,087",-5.7%,19,
,November,256,"$465,687","$457,062",-1.85%,"$1,562",0.34%,19,
,October,269,"$459,375","$455,500",-0.84%,"$8,369",1.87%,17,
,September,259,"$452,762","$447,131",-1.24%,"-$2,006",-0.44%,20,
,August,302,"$455,697","$449,137",-1.43%,"-$6,738",-1.47%,17,
,July,293,"$459,037","$455,875",-0.68%,"$6,014",1.33%,14,
,June,413,"$450,397","$449,861",-0.11%,"$2,424",0.54%,13,
,May,460,"$451,475","$447,437",-0.89%,"-$8,285",-1.81%,15,
,April,364,"$458,686","$455,722",-0.64%,"$30,372",7.14%,14,
,March,369,"$428,575","$425,350",-0.75%,"$2,863",0.67%,11,
,February,245,"$426,675","$422,487",-0.98%,"$19,162",4.75%,12,
,January,170,"$407,475","$403,325",-1.01%,"-$7,050",-1.71%,17,
