,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,February,105,"$242,400","$237,237",-2.12%,"$21,800",10.11%,16,
,January,84,"$218,975","$215,437",-1.61%,"-$16,550",-7.13%,14,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,62,"$237,687","$231,987",-2.39%,"$13,487",6.17%,16,
,November,123,"$222,762","$218,500",-1.91%,"$14,275",6.98%,22,
,October,127,"$209,012","$204,225",-2.29%,"-$4,837",-2.31%,38,
,September,127,"$214,150","$209,062",-2.37%,"-$8,188",-3.76%,29,
,August,142,"$220,425","$217,250",-1.44%,"$2,125",0.98%,22,
,July,122,"$219,550","$215,125",-2.01%,"-$30,987",-12.59%,33,
,June,169,"$250,800","$246,112",-1.86%,"$30,139",13.95%,28,
,May,200,"$218,861","$215,973",-1.31%,"-$13,339",-5.81%,25,
,April,205,"$233,425","$229,312",-1.76%,"$13,844",6.42%,36,
,March,200,"$221,475","$215,468",-2.71%,"$2,343",1.09%,24,
,February,145,"$217,350","$213,125",-1.94%,"-$11,643",-5.18%,36,
,January,80,"$229,787","$224,768",-2.18%,"$61,593",37.74%,29,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,69,"$165,787","$163,175",-1.57%,"-$53,937",-24.84%,29,
,November,117,"$226,637","$217,112",-4.2%,"-$2,388",-1.08%,39,
,October,115,"$222,412","$219,500",-1.3%,"-$51,750",-19.07%,29,
,September,134,"$298,636","$271,250",-9.17%,"$50,000",22.59%,61,
,August,118,"$224,998","$221,250",-1.66%,"-$8,437",-3.67%,35,
,July,129,"$238,675","$229,687",-3.76%,"$18,564",8.79%,29,
,June,166,"$215,248","$211,123",-1.91%,"$5,092",2.47%,36,
,May,147,"$211,287","$206,031",-2.48%,"$6,969",3.5%,26,
,April,136,"$203,100","$199,062",-1.98%,"$3,200",1.63%,25,
,March,134,"$203,650","$195,862",-3.82%,-$888,-0.45%,19,
,February,95,"$202,375","$196,750",-2.77%,-$475,-0.24%,50,
,January,79,"$199,825","$197,225",-1.3%,"$2,850",1.46%,35,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
