,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,March,75,"$322,197","$316,350",-1.81%,"-$1,497",-0.47%,23,
,February,55,"$319,758","$317,847",-0.59%,"$83,972",35.9%,27,
,January,48,"$239,112","$233,875",-2.19%,"-$11,375",-4.63%,34,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,36,"$254,712","$245,250",-3.71%,"-$92,675",-27.42%,32,
,November,48,"$348,375","$337,925",-2.99%,"$54,650",19.29%,42,
,October,61,"$291,662","$283,275",-2.87%,"$42,463",17.63%,31,
,September,53,"$248,862","$240,812",-3.23%,"$36,212",17.69%,31,
,August,37,"$208,100","$204,600",-1.68%,"-$51,900",-20.23%,50,
,July,55,"$257,225","$256,500",-0.28%,"-$26,925",-9.49%,28,
,June,73,"$290,372","$283,425",-2.39%,"$5,863",2.11%,27,
,May,62,"$282,724","$277,562",-1.82%,"$29,812",12.03%,31,
,April,65,"$252,325","$247,750",-1.81%,"-$24,625",-9.04%,23,
,March,61,"$277,962","$272,375",-2%,"$26,378",10.72%,28,
,February,26,"$258,675","$245,997",-4.9%,"$36,435",17.38%,81,
,January,30,"$212,450","$209,562",-1.35%,"-$21,063",-9.13%,29,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,24,"$235,662","$230,625",-2.13%,"$12,250",5.6%,45,
,November,28,"$224,511","$218,375",-2.73%,"-$17,475",-7.4%,32,
,October,33,"$244,686","$235,850",-3.61%,"-$31,087",-11.64%,24,
,September,30,"$276,925","$266,937",-3.6%,$500,0.18%,36,
,August,31,"$272,800","$266,437",-2.33%,"-$17,938",-6.3%,41,
,July,29,"$293,200","$284,375",-3%,"$78,050",37.82%,78,
,June,26,"$211,725","$206,325",-2.55%,"-$12,598",-5.75%,36,
,May,41,"$224,183","$218,923",-2.34%,"-$4,077",-1.82%,30,
,April,32,"$229,950","$223,000",-3.02%,"$13,000",6.19%,40,
,March,38,"$211,300","$210,000",-0.61%,"-$35,975",-14.62%,20,
,February,21,"$247,075","$245,975",-0.44%,"$10,350",4.39%,55,
,January,21,"$242,700","$235,625",-2.91%,"$58,500",33.02%,47,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,20,"$180,187","$177,125",-1.69%,"-$37,475",-17.46%,68,
,November,22,"$220,099","$214,600",-2.49%,"-$7,463",-3.36%,21,
,October,22,"$227,088","$222,063",-2.21%,"$19,563",9.66%,40,
,September,15,"$208,075","$202,500",-2.67%,"-$5,062",-2.43%,35,
,August,15,"$215,625","$207,562",-3.73%,"$12,312",6.3%,31,
,July,17,"$200,725","$195,250",-2.72%,"-$30,875",-13.65%,29,
,June,34,"$231,750","$226,125",-2.42%,"$29,325",14.9%,18,
,May,33,"$203,512","$196,800",-3.29%,"-$48,150",-19.65%,15,
,April,40,"$247,400","$244,950",-0.99%,"-$13,750",-5.31%,43,
,March,27,"$265,675","$258,700",-2.62%,"$80,650",45.29%,42,
,February,21,"$176,575","$178,050",0.83%,"$70,800",66.01%,29,
,January,16,"$110,600","$107,250",-3.02%,"-$138,725",-56.39%,27,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,16,"$246,662","$245,975",-0.27%,"$19,250",8.49%,27,
,November,23,"$227,425","$226,725",-0.3%,"-$160,860",-41.5%,23,
,October,16,"$391,547","$387,585",-1.01%,"$100,835",35.16%,23,
,September,17,"$303,312","$286,750",-5.46%,"$69,250",31.83%,71,
,August,22,"$223,025","$217,500",-2.47%,"$157,500",262.5%,31,
,July,15,"$62,475","$60,000",-3.96%,"-$146,562",-70.95%,13,
,June,24,"$214,425","$206,562",-3.66%,"$37,825",22.41%,30,
,May,18,"$174,337","$168,737",-3.21%,"-$34,638",-17.03%,34,
,April,15,"$211,174","$203,375",-3.69%,"-$40,162",-16.49%,40,
,March,14,"$250,075","$243,537",-2.61%,"$105,787",76.79%,71,
,February,9,"$141,950","$137,750",-2.95%,"$30,000",27.84%,22,
,January,9,"$111,825","$107,750",-3.64%,"$107,750",0%,31,
