,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,February,184,"$284,387","$282,875",-0.53%,"$1,650",0.58%,15,
,January,107,"$286,161","$281,225",-1.72%,"$19,638",7.5%,34,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,75,"$267,724","$261,587",-2.29%,"-$11,713",-4.28%,25,
,November,115,"$276,462","$273,300",-1.14%,"-$7,100",-2.53%,18,
,October,166,"$284,124","$280,400",-1.31%,"-$14,587",-4.94%,16,
,September,136,"$301,462","$294,987",-2.14%,"$8,203",2.86%,16,
,August,164,"$291,537","$286,784",-1.63%,"$14,284",5.24%,17,
,July,173,"$276,147","$272,500",-1.32%,"-$20,375",-6.95%,15,
,June,210,"$296,587","$292,875",-1.25%,"$4,875",1.69%,19,
,May,268,"$291,950","$288,000",-1.35%,"-$2,000",-0.68%,15,
,April,235,"$292,187","$290,000",-0.74%,"$17,750",6.51%,14,
,March,258,"$278,525","$272,250",-2.25%,"$10,250",3.91%,21,
,February,156,"$265,525","$262,000",-1.32%,"$16,500",6.72%,20,
,January,120,"$254,275","$245,500",-3.45%,"-$8,500",-3.34%,19,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,99,"$261,599","$254,000",-2.9%,"-$20,875",-7.59%,37,
,November,178,"$278,487","$274,875",-1.29%,"-$1,000",-0.36%,20,
,October,145,"$280,400","$275,875",-1.61%,"$4,875",1.79%,26,
,September,175,"$275,600","$271,000",-1.66%,"$15,898",6.23%,26,
,August,152,"$258,616","$255,102",-1.35%,"-$5,710",-2.18%,32,
,July,180,"$266,437","$260,812",-2.11%,"-$12,063",-4.42%,26,
,June,245,"$274,700","$272,875",-0.66%,"$11,875",4.54%,17,
,May,214,"$264,936","$261,000",-1.48%,$750,0.28%,18,
,April,238,"$263,050","$260,250",-1.06%,"-$6,500",-2.43%,18,
,March,219,"$271,350","$266,750",-1.69%,"$7,125",2.74%,17,
,February,143,"$262,962","$259,625",-1.26%,$375,0.14%,17,
,January,116,"$264,412","$259,250",-1.95%,"$17,750",7.34%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,83,"$244,662","$241,500",-1.29%,"-$23,625",-8.91%,36,
,November,122,"$271,812","$265,125",-2.46%,"$8,138",3.16%,31,
,October,156,"$261,187","$256,987",-1.6%,"$4,550",1.8%,24,
,September,169,"$258,900","$252,437",-2.49%,"$5,687",2.3%,20,
,August,153,"$253,275","$246,750",-2.57%,"$5,375",2.22%,29,
,July,139,"$247,162","$241,375",-2.34%,"-$14,875",-5.8%,35,
,June,179,"$260,175","$256,250",-1.5%,"$5,913",2.36%,22,
,May,208,"$253,275","$250,337",-1.16%,"-$11,288",-4.31%,23,
,April,279,"$264,787","$261,625",-1.19%,"$8,425",3.32%,23,
,March,232,"$254,925","$253,200",-0.67%,"$2,981",1.19%,15,
,February,155,"$253,225","$250,219",-1.18%,"-$3,906",-1.53%,17,
,January,118,"$257,962","$254,125",-1.48%,"$6,275",2.53%,25,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,121,"$250,537","$247,850",-1.07%,"-$3,562",-1.41%,17,
,November,142,"$254,300","$251,412",-1.13%,"$10,787",4.48%,27,
,October,166,"$244,175","$240,625",-1.45%,"$1,563",0.65%,19,
,September,195,"$242,137","$239,062",-1.26%,"-$10,119",-4.06%,23,
,August,155,"$254,112","$249,181",-1.94%,"-$11,669",-4.47%,22,
,July,234,"$263,550","$260,850",-1.02%,"$22,825",9.58%,23,
,June,226,"$241,300","$238,025",-1.35%,"$5,775",2.48%,24,
,May,245,"$236,787","$232,250",-1.91%,"$2,500",1.08%,19,
,April,217,"$238,112","$229,750",-3.51%,"-$6,150",-2.6%,26,
,March,167,"$242,787","$235,900",-2.83%,"$10,850",4.82%,29,
,February,105,"$232,637","$225,050",-3.26%,"-$16,012",-6.64%,34,
,January,84,"$248,750","$241,062",-3.09%,"$241,062",0%,35,
