,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,February,189,"$224,187","$218,250",-2.64%,"$36,688",20.2%,24,
,January,125,"$185,837","$181,562",-2.3%,"-$23,950",-11.65%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,107,"$209,225","$205,512",-1.77%,"$11,632",5.99%,29,
,November,180,"$198,573","$193,880",-2.36%,"$4,005",2.1%,30,
,October,205,"$193,362","$189,875",-1.8%,"-$12,112",-5.99%,18,
,September,211,"$205,887","$201,987",-1.89%,"$1,175",0.58%,16,
,August,204,"$205,912","$200,812",-2.47%,"$3,825",1.94%,28,
,July,246,"$202,175","$196,987",-2.56%,"$4,387",2.27%,29,
,June,263,"$198,925","$192,600",-3.17%,"-$7,650",-3.82%,18,
,May,280,"$203,300","$200,250",-1.5%,"$7,900",4.1%,21,
,April,286,"$197,137","$192,350",-2.42%,"$3,913",2.07%,28,
,March,288,"$190,450","$188,437",-1.05%,"$12,625",7.18%,18,
,February,215,"$178,675","$175,812",-1.6%,"-$2,125",-1.19%,17,
,January,157,"$181,450","$177,937",-1.93%,"-$26,375",-12.9%,39,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,127,"$210,537","$204,312",-2.95%,"$12,687",6.62%,36,
,November,177,"$196,600","$191,625",-2.53%,"$8,960",4.9%,25,
,October,192,"$186,775","$182,665",-2.2%,"-$13,122",-6.7%,25,
,September,209,"$199,150","$195,787",-1.68%,"$15,266",8.45%,28,
,August,212,"$185,637","$180,521",-2.75%,"$1,596",0.89%,31,
,July,216,"$184,412","$178,925",-2.97%,"-$13,575",-7.05%,21,
,June,249,"$197,425","$192,500",-2.49%,"$11,075",6.1%,25,
,May,266,"$186,175","$181,425",-2.55%,"-$34,637",-16.03%,32,
,April,230,"$221,912","$216,062",-2.63%,"$31,400",17%,22,
,March,259,"$188,025","$184,662",-1.78%,"$5,600",3.12%,17,
,February,183,"$186,000","$179,062",-3.73%,"$16,062",9.85%,26,
,January,143,"$166,437","$163,000",-2.06%,"-$9,875",-5.71%,39,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,130,"$178,031","$172,875",-2.89%,"$1,000",0.58%,35,
,November,172,"$177,325","$171,875",-3.07%,"-$35,862",-17.26%,27,
,October,180,"$213,400","$207,737",-2.65%,"$29,037",16.24%,31,
,September,174,"$185,000","$178,700",-3.4%,"-$6,125",-3.31%,37,
,August,180,"$191,175","$184,825",-3.32%,"-$2,912",-1.55%,33,
,July,168,"$193,000","$187,737",-2.72%,"$7,050",3.9%,36,
,June,221,"$186,537","$180,687",-3.13%,"$13,125",7.83%,37,
,May,247,"$171,712","$167,562",-2.41%,"-$7,063",-4.04%,28,
,April,292,"$178,062","$174,625",-1.93%,"-$3,837",-2.15%,20,
,March,281,"$182,081","$178,462",-1.98%,"$9,875",5.85%,24,
,February,205,"$174,400","$168,587",-3.33%,"$26,900",18.98%,26,
,January,141,"$145,350","$141,687",-2.52%,"-$43,575",-23.52%,20,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,114,"$191,237","$185,262",-3.12%,"-$1,963",-1.04%,32,
,November,157,"$193,662","$187,225",-3.32%,"$9,913",5.59%,33,
,October,214,"$182,148","$177,312",-2.65%,"-$27,813",-13.55%,29,
,September,214,"$209,975","$205,125",-2.3%,"$30,938",17.76%,42,
,August,221,"$179,053","$174,187",-2.71%,-$813,-0.46%,30,
,July,240,"$178,350","$175,000",-1.87%,"$1,750",1.01%,32,
,June,232,"$177,550","$173,250",-2.42%,"-$14,587",-7.76%,35,
,May,238,"$197,925","$187,837",-5.09%,"$17,775",10.45%,43,
,April,200,"$176,475","$170,062",-3.63%,"$20,750",13.89%,40,
,March,177,"$155,525","$149,312",-3.99%,"-$8,375",-5.31%,62,
,February,144,"$163,025","$157,687",-3.27%,"$7,269",4.83%,28,
,January,85,"$156,775","$150,418",-4.05%,"$150,418",0%,50,
