,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,February,159,"$467,787","$462,562",-1.11%,"$28,812",6.64%,20,
,January,66,"$442,686","$433,750",-2.01%,"$20,650",4.99%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,44,"$419,675","$413,100",-1.56%,"-$24,525",-5.6%,17,
,November,168,"$450,350","$437,625",-2.82%,"$7,500",1.74%,20,
,October,236,"$437,412","$430,125",-1.66%,"-$1,075",-0.24%,24,
,September,214,"$440,900","$431,200",-2.2%,"-$14,050",-3.15%,19,
,August,223,"$455,587","$445,250",-2.26%,"-$2,725",-0.6%,25,
,July,227,"$456,500","$447,975",-1.86%,$225,0.05%,23,
,June,313,"$449,448","$447,750",-0.37%,"-$2,625",-0.58%,16,
,May,404,"$459,037","$450,375",-1.88%,"-$8,597",-1.87%,17,
,April,399,"$461,050","$458,972",-0.45%,"$4,222",0.92%,18,
,March,325,"$461,650","$454,750",-1.49%,"$26,963",6.3%,17,
,February,263,"$436,450","$427,787",-1.98%,"$13,325",3.21%,16,
,January,149,"$419,162","$414,462",-1.12%,"-$15,338",-3.56%,15,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,142,"$438,137","$429,800",-1.9%,"$2,738",0.64%,30,
,November,212,"$435,480","$427,062",-1.93%,-$750,-0.17%,27,
,October,257,"$436,437","$427,812",-1.97%,"$14,700",3.55%,20,
,September,229,"$421,725","$413,112",-2.04%,"$1,206",0.29%,18,
,August,224,"$417,311","$411,906",-1.29%,"$15,781",3.98%,21,
,July,311,"$398,462","$396,125",-0.58%,"-$7,375",-1.82%,21,
,June,346,"$407,337","$403,500",-0.94%,"-$20,061",-4.73%,21,
,May,371,"$428,149","$423,561",-1.07%,"$22,486",5.6%,19,
,April,325,"$405,200","$401,075",-1.01%,"$11,325",2.9%,22,
,March,322,"$395,875","$389,750",-1.54%,"-$17,875",-4.38%,22,
,February,227,"$417,823","$407,625",-2.44%,"$14,625",3.72%,19,
,January,157,"$399,071","$393,000",-1.52%,"-$18,250",-4.43%,26,
,Month,# of Sales,Avg List Price,Avg Sold Price,Above/Below Asking,Monthly Change ($),Monthly Change (%),Days on Market,
,December,130,"$419,550","$411,250",-1.97%,"$26,313",6.83%,41,
,November,186,"$395,286","$384,937",-2.61%,"$8,099",2.14%,32,
,October,208,"$385,775","$376,838",-2.31%,$151,0.04%,26,
,September,246,"$387,312","$376,687",-2.74%,"$2,937",0.78%,26,
,August,244,"$380,925","$373,750",-1.88%,"$6,500",1.76%,36,
,July,233,"$374,975","$367,250",-2.06%,"-$37,125",-9.18%,32,
